img_no 	 max_int_value 	 angle 	 angle axis 
152 	 129.288193 	 0.948761 	 Y
153 	 127.505959 	 0.955044 	 Y
154 	 126.248680 	 0.961327 	 Y
155 	 125.272598 	 0.967611 	 Y
156 	 123.994682 	 0.973894 	 Y
157 	 122.110146 	 0.980177 	 Y
158 	 121.324760 	 0.986460 	 Y
159 	 121.145020 	 0.992743 	 Y
160 	 120.184067 	 0.999026 	 Y
161 	 118.517433 	 1.005310 	 Y
162 	 116.512276 	 1.011593 	 Y
163 	 116.849068 	 1.017876 	 Y
164 	 116.862633 	 1.024159 	 Y
165 	 116.539963 	 1.030442 	 Y
166 	 116.195694 	 1.036726 	 Y
167 	 116.543335 	 1.043009 	 Y
168 	 116.990196 	 1.049292 	 Y
169 	 117.256111 	 1.055575 	 Y
170 	 117.370697 	 1.061858 	 Y
171 	 117.353165 	 1.068142 	 Y
172 	 116.898056 	 1.074425 	 Y
173 	 116.115021 	 1.080708 	 Y
174 	 114.968910 	 1.086991 	 Y
175 	 114.131760 	 1.093274 	 Y
176 	 113.739670 	 1.099557 	 Y
177 	 112.900002 	 1.105841 	 Y
178 	 113.150208 	 1.112124 	 Y
179 	 114.121361 	 1.118407 	 Y
180 	 115.028183 	 1.124690 	 Y
181 	 115.902267 	 1.130973 	 Y
182 	 116.970627 	 1.137257 	 Y
183 	 117.924934 	 1.143540 	 Y
184 	 118.809677 	 1.149823 	 Y
185 	 119.315323 	 1.156106 	 Y
186 	 120.038475 	 1.162389 	 Y
187 	 120.591270 	 1.168672 	 Y
188 	 120.724922 	 1.174956 	 Y
189 	 120.422356 	 1.181239 	 Y
190 	 121.617027 	 1.187522 	 Y
191 	 122.647278 	 1.193805 	 Y
192 	 123.281311 	 1.200088 	 Y
193 	 123.703110 	 1.206372 	 Y
194 	 123.918129 	 1.212655 	 Y
195 	 123.779976 	 1.218938 	 Y
196 	 123.945084 	 1.225221 	 Y
197 	 124.235283 	 1.231504 	 Y
198 	 124.198761 	 1.237788 	 Y
199 	 123.940109 	 1.244071 	 Y
200 	 123.704803 	 1.250354 	 Y
201 	 123.955162 	 1.256637 	 Y
202 	 124.149162 	 1.262920 	 Y
203 	 124.368134 	 1.269203 	 Y
204 	 124.535347 	 1.275487 	 Y
205 	 124.574684 	 1.281770 	 Y
206 	 124.625755 	 1.288053 	 Y
207 	 124.533920 	 1.294336 	 Y
208 	 124.409958 	 1.300619 	 Y
209 	 124.231232 	 1.306903 	 Y
210 	 123.905708 	 1.313186 	 Y
211 	 123.409447 	 1.319469 	 Y
212 	 122.968262 	 1.325752 	 Y
213 	 122.400696 	 1.332035 	 Y
214 	 121.598610 	 1.338318 	 Y
215 	 120.500969 	 1.344602 	 Y
216 	 119.000313 	 1.350885 	 Y
217 	 117.352211 	 1.357168 	 Y
218 	 115.757607 	 1.363451 	 Y
219 	 115.301712 	 1.369734 	 Y
220 	 114.569168 	 1.376018 	 Y
221 	 114.258194 	 1.382301 	 Y
222 	 113.730499 	 1.388584 	 Y
223 	 112.942795 	 1.394867 	 Y
224 	 112.370804 	 1.401150 	 Y
225 	 111.676018 	 1.407434 	 Y
226 	 110.647285 	 1.413717 	 Y
227 	 110.312965 	 1.420000 	 Y
228 	 109.994606 	 1.426283 	 Y
229 	 109.838432 	 1.432566 	 Y
230 	 110.200508 	 1.438849 	 Y
231 	 110.706665 	 1.445133 	 Y
232 	 111.330002 	 1.451416 	 Y
233 	 111.960426 	 1.457699 	 Y
234 	 112.398903 	 1.463982 	 Y
235 	 112.672470 	 1.470265 	 Y
236 	 112.951103 	 1.476549 	 Y
237 	 112.970772 	 1.482832 	 Y
238 	 112.775528 	 1.489115 	 Y
239 	 112.572433 	 1.495398 	 Y
240 	 112.145973 	 1.501681 	 Y
241 	 111.458321 	 1.507964 	 Y
242 	 110.970116 	 1.514248 	 Y
243 	 110.271622 	 1.520531 	 Y
244 	 109.362907 	 1.526814 	 Y
245 	 108.975601 	 1.533097 	 Y
246 	 108.704414 	 1.539380 	 Y
247 	 108.213089 	 1.545664 	 Y
248 	 107.577431 	 1.551947 	 Y
249 	 106.919029 	 1.558230 	 Y
250 	 106.695503 	 1.564513 	 Y
251 	 106.943314 	 1.570796 	 Y
252 	 106.940956 	 1.577080 	 Y
253 	 106.998528 	 1.583363 	 Y
254 	 107.059708 	 1.589646 	 Y
255 	 107.042320 	 1.595929 	 Y
256 	 106.568863 	 1.602212 	 Y
257 	 106.898766 	 1.608495 	 Y
258 	 107.541130 	 1.614779 	 Y
259 	 108.245255 	 1.621062 	 Y
260 	 108.824677 	 1.627345 	 Y
261 	 109.387085 	 1.633628 	 Y
262 	 109.785095 	 1.639911 	 Y
263 	 110.227303 	 1.646195 	 Y
264 	 110.035347 	 1.652478 	 Y
265 	 109.617760 	 1.658761 	 Y
266 	 109.223831 	 1.665044 	 Y
267 	 108.709915 	 1.671327 	 Y
268 	 109.243683 	 1.677610 	 Y
269 	 110.181931 	 1.683894 	 Y
270 	 111.103004 	 1.690177 	 Y
271 	 112.157028 	 1.696460 	 Y
272 	 113.107918 	 1.702743 	 Y
273 	 114.055901 	 1.709026 	 Y
274 	 114.964195 	 1.715310 	 Y
275 	 116.246819 	 1.721593 	 Y
276 	 117.427910 	 1.727876 	 Y
277 	 118.497063 	 1.734159 	 Y
278 	 119.260529 	 1.740442 	 Y
279 	 119.882957 	 1.746726 	 Y
280 	 120.212868 	 1.753009 	 Y
281 	 120.392242 	 1.759292 	 Y
282 	 120.502243 	 1.765575 	 Y
283 	 120.359810 	 1.771858 	 Y
284 	 119.975327 	 1.778141 	 Y
285 	 119.214279 	 1.784425 	 Y
286 	 118.237053 	 1.790708 	 Y
287 	 117.061737 	 1.796991 	 Y
288 	 115.654823 	 1.803274 	 Y
289 	 114.017212 	 1.809557 	 Y
290 	 114.951942 	 1.815841 	 Y
291 	 115.594505 	 1.822124 	 Y
292 	 115.887589 	 1.828407 	 Y
293 	 115.811310 	 1.834690 	 Y
294 	 115.857933 	 1.840973 	 Y
295 	 116.434822 	 1.847256 	 Y
296 	 116.801941 	 1.853540 	 Y
297 	 116.962006 	 1.859823 	 Y
298 	 117.076706 	 1.866106 	 Y
299 	 117.201569 	 1.872389 	 Y
300 	 117.229095 	 1.878672 	 Y
301 	 117.201546 	 1.884956 	 Y
302 	 116.992203 	 1.891239 	 Y
303 	 116.466850 	 1.897522 	 Y
304 	 115.436966 	 1.903805 	 Y
305 	 115.410294 	 1.910088 	 Y
306 	 116.179672 	 1.916372 	 Y
307 	 116.754784 	 1.922655 	 Y
308 	 116.827065 	 1.928938 	 Y
309 	 116.485939 	 1.935221 	 Y
310 	 116.040764 	 1.941504 	 Y
311 	 115.200966 	 1.947787 	 Y
312 	 115.246803 	 1.954071 	 Y
313 	 115.662125 	 1.960354 	 Y
314 	 115.810585 	 1.966637 	 Y
315 	 115.346001 	 1.972920 	 Y
316 	 114.637848 	 1.979203 	 Y
317 	 114.328468 	 1.985487 	 Y
318 	 114.548981 	 1.991770 	 Y
319 	 115.849754 	 1.998053 	 Y
